Date,Open Price,High Price,Low Price,Close Price,Prev Close Price,Total Traded Quantity,Total Traded Value,52 Week High Price,52 Week Low Price,VWAP,Deliverable Volume,Deliverable Percent,Series
2018-06-06,3181.0,3228.7,3140.0,3187.0,3181.65,7247,23126307.4,4494.0,2506.35,3191.16,1991,27.47,EQ
2018-06-07,3188.0,3244.7,3185.9,3207.3,3187.0,13275,42682860.75,4494.0,2506.35,3215.28,8453,63.68,EQ
2018-06-08,3230.0,3230.0,3180.0,3196.05,3207.3,8180,26172755.2,4494.0,2506.35,3199.6,5062,61.88,EQ
2018-06-11,3240.0,3418.95,3179.95,3203.4,3196.05,77148,255857254.05,4494.0,2506.35,3316.45,22856,29.63,EQ
2018-06-12,3220.0,3255.9,3180.05,3199.6,3203.4,17084,54945813.95,4494.0,2506.35,3216.21,5797,33.93,EQ
2018-06-13,3229.75,3229.75,3175.0,3184.45,3199.6,6299,20147548.2,4494.0,2506.35,3198.53,2613,41.48,EQ
2018-06-14,3196.7,3196.7,3140.0,3151.6,3184.45,14809,46836712.8,4494.0,2506.35,3162.72,8648,58.4,EQ
2018-06-15,3165.0,3170.0,3110.0,3123.05,3151.6,14927,46759457.05,4494.0,2506.35,3132.54,8701,58.29,EQ
2018-06-18,3140.8,3140.8,3058.1,3065.3,3123.05,15005,46264558.75,4494.0,2506.35,3083.28,8839,58.91,EQ
2018-06-19,3059.75,3059.75,2950.0,2965.15,3065.3,25053,75010028.65,4494.0,2506.35,2994.05,17360,69.29,EQ
2018-06-20,2962.0,2990.95,2876.0,2932.1,2965.15,24909,72728548.45,4494.0,2506.35,2919.77,12805,51.41,EQ
2018-06-21,2932.1,2978.0,2900.0,2914.75,2932.1,9557,27970033.85,4494.0,2506.35,2926.65,2751,28.79,EQ
2018-06-22,2901.0,2962.0,2860.0,2926.95,2914.75,13214,38571450.0,4494.0,2506.35,2918.98,4178,31.62,EQ
2018-06-25,2930.0,2970.0,2882.0,2917.9,2926.95,10770,31627480.7,4494.0,2506.35,2936.63,3195,29.67,EQ
2018-06-26,2917.0,2946.95,2882.8,2924.45,2917.9,8173,23822987.55,4494.0,2506.35,2914.84,2757,33.73,EQ
2018-06-27,2935.0,2959.95,2865.05,2893.65,2924.45,19534,57096323.7,4494.0,2506.35,2922.92,12500,63.99,EQ
2018-06-28,2898.9,2927.95,2852.0,2878.05,2893.65,7477,21598765.35,4494.0,2506.35,2888.69,2545,34.04,EQ
2018-06-29,2860.0,2949.0,2860.0,2930.05,2878.05,7158,20846325.55,4494.0,2506.35,2912.31,2999,41.9,EQ
2018-07-02,2954.9,2954.9,2774.55,2873.8,2930.05,10760,30687084.55,4494.0,2506.35,2851.96,4383,40.73,EQ
2018-07-03,2899.0,2943.3,2846.0,2921.3,2873.8,13114,38263095.9,4494.0,2506.35,2917.73,7022,53.55,EQ
2018-07-04,2939.0,2943.0,2880.0,2891.8,2921.3,41483,120149080.0,4494.0,2506.35,2896.35,17355,41.84,EQ
2018-07-05,2880.0,2900.0,2862.9,2885.25,2891.8,3765,10858991.1,4494.0,2506.35,2884.19,1318,35.01,EQ
2018-07-06,2896.0,2920.0,2865.0,2887.6,2885.25,5758,16670603.85,4494.0,2506.35,2895.21,2685,46.63,EQ
2018-07-09,2875.1,2931.4,2875.1,2919.55,2887.6,5855,17018207.2,4494.0,2506.35,2906.61,2069,35.34,EQ
2018-07-10,2906.0,3077.0,2906.0,3028.45,2919.55,29688,89381727.3,4494.0,2506.35,3010.7,5987,20.17,EQ
2018-07-11,3030.0,3079.95,2935.0,2954.4,3028.45,14189,42493135.6,4494.0,2506.35,2994.79,7607,53.61,EQ
2018-07-12,2975.0,2976.55,2950.0,2968.35,2954.4,5248,15569798.3,4494.0,2506.35,2966.81,2338,44.55,EQ
2018-07-13,2989.9,2989.9,2900.0,2916.95,2968.35,4246,12471522.2,4494.0,2506.35,2937.24,1593,37.52,EQ
2018-07-16,2905.05,2912.8,2850.0,2865.25,2916.95,3486,10021878.2,4494.0,2506.35,2874.89,1909,54.76,EQ
2018-07-17,2865.0,2947.95,2837.0,2912.05,2865.25,8609,24860870.3,4494.0,2506.35,2887.78,2536,29.46,EQ
2018-07-18,2900.05,2929.3,2848.0,2875.2,2912.05,3029,8723306.75,4494.0,2506.35,2879.93,1381,45.59,EQ
2018-07-19,2845.0,2909.0,2803.95,2827.15,2875.2,6401,18264099.4,4494.0,2506.35,2853.32,2252,35.18,EQ
2018-07-20,2830.0,2849.75,2790.0,2804.9,2827.15,5596,15734746.4,4494.0,2506.35,2811.78,2987,53.38,EQ
2018-07-23,2902.0,2946.0,2850.0,2859.6,2804.9,22351,64901662.5,4494.0,2506.35,2903.75,8028,35.92,EQ
2018-07-24,2860.0,2896.8,2813.6,2838.05,2859.6,8200,23440543.95,4494.0,2506.35,2858.6,3307,40.33,EQ
2018-07-25,2842.05,2871.9,2816.05,2841.5,2838.05,23013,65378322.55,4494.0,2506.35,2840.93,19459,84.56,EQ
2018-07-26,2850.0,2874.05,2822.0,2829.8,2841.5,4505,12792784.6,4494.0,2506.35,2839.69,2143,47.57,EQ
2018-07-27,2840.0,2925.0,2826.05,2832.25,2829.8,21016,60039687.2,4494.0,2506.35,2856.86,5723,27.23,EQ
2018-07-30,2841.0,2846.45,2780.15,2798.65,2832.25,14180,39954976.65,4494.0,2506.35,2817.7,11144,78.59,EQ
2018-07-31,2834.0,2834.0,2717.05,2750.8,2798.65,20988,57860194.1,4494.0,2506.35,2756.82,15684,74.73,EQ
2018-08-01,2799.95,2799.95,2723.0,2739.05,2750.8,10766,29573885.75,4494.0,2506.35,2746.97,6446,59.87,EQ
2018-08-02,2728.0,2740.45,2660.0,2667.7,2739.05,16779,45042536.75,4494.0,2506.35,2684.46,10853,64.68,EQ
2018-08-03,2679.0,2884.0,2650.0,2816.2,2667.7,125684,344013230.55,4494.0,2506.35,2737.13,70009,55.7,EQ
2018-08-06,2848.0,2892.85,2815.0,2864.95,2816.2,31469,90011089.35,4494.0,2506.35,2860.31,14082,44.75,EQ
2018-08-07,2838.0,2838.0,2624.05,2646.4,2864.95,120919,324936591.7,4494.0,2506.35,2687.23,79443,65.7,EQ
2018-08-08,2636.15,2718.9,2625.0,2640.05,2646.4,62955,167088286.2,4494.0,2506.35,2654.09,44629,70.89,EQ
2018-08-09,2645.0,2689.0,2605.0,2627.0,2640.05,85409,226483298.8,4494.0,2506.35,2651.75,75126,87.96,EQ
2018-08-10,2621.05,2640.7,2490.0,2502.05,2627.0,58153,146593967.25,4494.0,2490.0,2520.83,30508,52.46,EQ
2018-08-13,2492.0,2492.0,2382.2,2409.85,2502.05,46939,113115072.15,4494.0,2382.2,2409.83,27736,59.09,EQ
2018-08-14,2400.2,2456.0,2400.2,2430.6,2409.85,43165,104906514.9,4494.0,2382.2,2430.36,29128,67.48,EQ
2018-08-16,2415.0,2499.0,2405.05,2458.7,2430.6,19921,49018977.55,4494.0,2382.2,2460.67,8364,41.99,EQ
2018-08-17,2470.0,2563.9,2450.05,2528.75,2458.7,30998,77828469.05,4494.0,2382.2,2510.76,10633,34.3,EQ
2018-08-20,2529.0,2569.9,2500.0,2507.7,2528.75,12948,32719569.35,4494.0,2382.2,2527.0,5893,45.51,EQ
2018-08-21,2507.0,2526.5,2498.0,2508.35,2507.7,9744,24492012.4,4494.0,2382.2,2513.55,5292,54.31,EQ
2018-08-23,2505.0,2540.0,2496.15,2510.45,2508.35,11373,28592737.15,4494.0,2382.2,2514.09,5215,45.85,EQ
2018-08-24,2528.0,2625.0,2510.0,2595.3,2510.45,36554,94021294.25,4494.0,2382.2,2572.12,13401,36.66,EQ
2018-08-27,2611.0,2725.0,2611.0,2685.35,2595.3,76659,206059753.75,4494.0,2382.2,2688.0,45966,59.96,EQ
2018-08-28,2729.75,2890.0,2685.35,2865.45,2685.35,141079,396044434.95,4494.0,2382.2,2807.25,40273,28.55,EQ
2018-08-29,2875.0,2975.0,2874.25,2915.25,2865.45,105708,310992341.55,4494.0,2382.2,2941.99,44312,41.92,EQ
2018-08-30,2931.25,2969.0,2850.0,2868.7,2915.25,34966,101132714.4,4494.0,2382.2,2892.32,9868,28.22,EQ
2018-08-31,2861.0,3069.7,2845.4,3008.6,2868.7,100068,298498535.1,4494.0,2382.2,2982.96,24486,24.47,EQ
